PII,country,points,price
342,Italy,91,115.0
343,US,91,55.0
344,Portugal,91,30.0
345,Portugal,91,14.0
346,US,91,48.0
347,US,91,40.0
348,Germany,91,39.0
349,Italy,91,60.0
350,US,91,50.0
351,US,91,48.0
352,France,91,54.0
353,Portugal,91,42.0
354,US,91,50.0
355,Israel,91,40.0
356,US,91,40.0
357,US,91,42.0
358,Italy,91,85.0
359,Spain,91,32.0
360,US,90,41.0
361,US,90,27.0
362,US,90,29.0
363,France,90,33.0
364,France,90,70.0
365,US,90,19.0
366,Italy,90,22.0
367,Germany,90,25.0
368,France,90,27.0
369,France,90,22.0
370,France,90,30.0
371,US,90,15.0
372,US,90,45.0
373,France,90,80.0
374,Italy,90,
375,Italy,90,
376,US,90,18.0
377,Italy,90,19.0
378,Germany,90,31.0
379,US,90,15.0
380,US,90,15.0
381,US,90,24.0
382,US,90,80.0
383,Spain,90,35.0
384,Germany,90,40.0
385,Spain,90,28.0
386,US,90,50.0
387,US,90,28.0
388,US,90,36.0
389,US,90,40.0
390,US,90,50.0
391,US,90,75.0
392,Italy,90,60.0
393,US,90,46.0
394,Canada,90,70.0
395,Spain,90,26.0
396,France,90,
397,Italy,90,60.0
398,Italy,90,75.0
399,Moldova,90,32.0
400,Italy,90,95.0
401,Italy,90,60.0
402,Italy,90,70.0
403,US,90,20.0
404,France,90,27.0
405,France,90,20.0
406,US,90,75.0
407,US,90,28.0
408,US,90,60.0
409,US,90,22.0
410,Spain,90,49.0
411,Hungary,90,35.0
412,Italy,90,90.0
413,US,90,30.0
414,US,90,35.0
415,US,90,38.0
416,US,90,22.0
417,Italy,90,30.0
418,Italy,90,32.0
419,Italy,90,35.0
420,US,87,36.0
421,US,87,30.0
422,US,87,20.0
423,US,87,32.0
424,Spain,87,18.0
425,Spain,87,27.0
426,US,87,20.0
427,France,87,
428,US,87,30.0
429,US,87,20.0
430,US,87,23.0
431,US,87,22.0
432,Italy,87,75.0
433,Italy,87,98.0
434,France,87,
435,US,87,20.0
436,US,87,22.0
437,US,87,16.0
438,Italy,87,28.0
439,Spain,87,25.0
440,Italy,87,17.0
441,US,87,17.0
442,Spain,87,15.0
443,Spain,87,16.0
444,Spain,87,15.0
445,US,87,38.0
446,Spain,87,28.0
447,Italy,87,52.0
448,Italy,87,58.0
449,Italy,87,60.0
450,Portugal,86,15.0
451,Italy,86,15.0
452,US,86,26.0
453,US,86,32.0
454,Portugal,86,10.0
455,Argentina,86,10.0
456,US,86,18.0
457,Portugal,86,12.0
458,US,86,35.0
459,US,86,34.0
460,Argentina,86,23.0
461,South Africa,86,20.0
462,US,86,31.0
463,US,86,24.0
464,US,86,12.0
465,US,86,18.0
466,France,86,10.0
467,Argentina,86,15.0
468,US,86,24.0
469,Argentina,86,14.0
470,US,86,14.0
471,Portugal,86,15.0
472,US,86,38.0
473,Portugal,86,13.0
474,US,86,12.0
475,US,86,32.0
476,France,86,15.0
477,US,86,28.0
478,Portugal,86,
479,Portugal,86,30.0
480,US,89,49.0
481,Greece,89,17.0
482,France,89,11.0
483,Italy,89,43.0
484,France,89,19.0
485,France,89,28.0
486,Germany,89,26.0
487,Italy,89,
488,US,89,35.0
489,US,89,30.0
490,Italy,89,55.0
491,France,89,
492,US,89,46.0
493,US,89,50.0
494,US,89,43.0
495,Portugal,89,45.0
496,US,89,39.0
497,Italy,89,30.0
498,Italy,89,45.0
499,Spain,89,23.0
500,France,89,15.0
501,US,89,65.0
502,Chile,89,19.0
503,US,89,35.0
504,US,89,60.0
505,US,89,44.0
506,Spain,89,25.0
507,Italy,89,30.0
508,Spain,89,12.0
509,Spain,89,18.0
510,US,92,30.0
511,France,92,
512,Portugal,92,23.0
513,US,92,45.0
514,US,92,125.0
515,US,92,98.0
516,US,92,40.0
517,Canada,92,17.0
518,US,92,60.0
519,Portugal,92,70.0
520,US,92,68.0
521,Portugal,92,40.0
522,US,92,32.0
523,US,92,45.0
524,US,92,66.0
525,France,92,29.0
526,France,92,63.0
527,US,92,32.0
528,US,92,55.0
529,Hungary,92,16.0
530,Italy,92,45.0
531,US,92,20.0
532,Italy,92,50.0
533,France,92,18.0
534,Portugal,92,23.0
535,France,92,
536,US,92,32.0
537,Chile,92,30.0
538,US,92,35.0
539,US,92,44.0
540,US,90,24.0
541,US,90,20.0
542,Germany,90,22.0
543,France,90,50.0
544,France,90,45.0
545,US,90,23.0
546,US,90,49.0
547,Germany,90,17.0
548,US,90,35.0
549,Italy,90,
550,France,90,59.0
551,France,90,24.0
552,France,90,
553,France,90,20.0
554,France,90,20.0
555,US,90,18.0
556,Italy,90,
557,US,90,42.0
558,Italy,90,22.0
559,Greece,90,20.0
560,US,90,48.0
561,US,90,30.0
562,Italy,90,
563,US,90,40.0
564,Spain,90,20.0
565,Spain,90,17.0
566,US,90,22.0
567,Germany,90,31.0
568,US,90,15.0
569,US,90,15.0
570,US,94,62.0
571,US,94,49.0
572,France,94,25.0
573,US,94,95.0
574,US,94,55.0
575,US,94,48.0
576,Italy,94,35.0
577,France,94,40.0
578,US,94,68.0
579,US,94,90.0
580,France,93,25.0
581,US,93,60.0
582,Austria,93,21.0
583,US,93,125.0
584,US,93,85.0
585,US,93,60.0
586,Spain,93,64.0
587,Austria,93,19.0
588,Austria,93,25.0
589,US,93,55.0
590,US,93,58.0
591,US,93,48.0
592,US,93,40.0
593,US,93,60.0
594,US,93,120.0
595,Austria,93,
596,US,93,100.0
597,US,93,34.0
598,Spain,93,91.0
599,France,93,36.0
600,US,91,40.0
601,US,91,20.0
602,US,91,55.0
603,Portugal,91,19.0
604,Italy,91,26.0
605,US,91,45.0
606,Germany,91,36.0
607,Germany,91,23.0
608,Germany,91,25.0
609,Germany,91,21.0
610,Germany,91,28.0
611,Italy,91,41.0
612,US,91,26.0
613,Portugal,91,
614,US,91,28.0
615,France,91,
616,US,91,38.0
617,US,91,44.0
618,US,91,45.0
619,Germany,91,25.0
620,Germany,91,38.0
621,Germany,91,22.0
622,Germany,91,26.0
623,Germany,91,23.0
624,Germany,91,23.0
625,US,91,50.0
626,Italy,91,21.0
627,France,91,25.0
628,Portugal,91,16.0
629,France,91,60.0
630,US,90,38.0
631,Australia,90,20.0
632,Italy,90,75.0
633,Portugal,90,33.0
634,Italy,90,75.0
635,US,90,64.0
636,US,90,18.0
637,Italy,90,75.0
638,Italy,90,30.0
639,Italy,90,42.0
640,Italy,90,18.0
641,Spain,90,20.0
642,US,90,40.0
643,France,90,25.0
644,Portugal,90,19.0
645,US,90,18.0
646,US,90,30.0
647,France,90,13.0
648,France,90,45.0
649,Germany,90,30.0
650,US,90,111.0
651,Italy,90,35.0
652,US,90,32.0
653,Italy,90,88.0
654,US,90,57.0
655,US,90,34.0
656,US,90,24.0
657,Italy,90,45.0
658,Italy,90,74.0
659,Italy,90,
660,Australia,88,42.0
661,France,88,27.0
662,Argentina,88,25.0
663,France,88,35.0
664,US,88,45.0
665,US,88,30.0
666,France,88,26.0
667,US,88,39.0
668,France,88,25.0
669,Italy,88,80.0
670,US,88,55.0
671,US,88,22.0
672,France,88,28.0
673,US,88,25.0
674,US,88,48.0
675,US,88,19.0
676,Croatia,88,19.0
677,Italy,88,77.0
678,US,88,18.0
679,France,88,25.0
680,France,88,
681,France,88,
682,France,88,18.0
683,US,88,18.0
684,France,88,
685,US,88,65.0
686,US,88,25.0
687,US,88,48.0
688,France,88,20.0
689,Spain,88,11.0
690,US,90,55.0
691,Spain,90,35.0
692,Bulgaria,90,26.0
693,US,90,46.0
694,US,90,55.0
695,US,90,30.0
696,US,90,25.0
697,US,90,27.0
698,US,90,28.0
699,Italy,90,62.0
700,US,90,48.0
701,Italy,90,80.0
702,US,90,36.0
703,US,90,48.0
704,US,90,60.0
705,Canada,90,24.0
706,US,90,42.0
707,US,90,45.0
708,US,90,39.0
709,US,90,25.0
710,US,90,40.0
711,Slovenia,90,40.0
712,US,90,40.0
713,Italy,90,60.0
714,Canada,90,19.0
715,US,90,85.0
716,Spain,90,26.0
717,Italy,90,25.0
718,US,90,15.0
719,France,90,24.0
720,US,86,18.0
721,South Africa,86,35.0
722,Argentina,86,26.0
723,Argentina,86,39.0
724,South Africa,86,11.0
725,US,85,15.0
726,France,85,9.0
727,France,85,16.0
728,US,85,15.0
729,France,85,18.0
730,Italy,85,9.0
731,Portugal,85,11.0
732,France,85,12.0
733,France,85,14.0
734,South Africa,85,10.0
735,US,85,12.0
736,US,85,18.0
737,Argentina,85,14.0
738,Italy,85,10.0
739,Argentina,85,13.0
740,Portugal,85,10.0
741,South Africa,85,20.0
742,Argentina,85,30.0
743,Spain,85,50.0
744,South Africa,85,16.0
745,France,85,11.0
746,Argentina,85,15.0
747,US,85,65.0
748,Bulgaria,85,9.0
749,Israel,85,30.0
750,France,89,
751,Spain,89,26.0
752,US,89,20.0
753,US,89,25.0
754,US,89,36.0
755,France,89,14.0
756,US,89,36.0
757,Italy,89,23.0
758,US,89,30.0
759,Italy,89,28.0
760,Chile,89,20.0
761,US,89,36.0
762,US,89,45.0
763,US,89,20.0
764,Chile,89,20.0
765,Italy,89,45.0
766,Chile,89,20.0
767,US,89,28.0
768,US,89,42.0
769,Italy,89,110.0
770,Chile,89,25.0
771,US,89,14.0
772,US,89,18.0
773,US,89,39.0
774,Italy,89,90.0
775,Portugal,89,18.0
776,Portugal,89,7.0
777,Portugal,89,17.0
778,Chile,89,17.0
779,France,89,20.0
780,Italy,87,50.0
781,Italy,87,87.0
782,US,87,28.0
783,Italy,87,
784,US,87,36.0
785,France,87,
786,France,87,
787,France,87,35.0
788,France,87,
789,France,87,30.0
790,US,87,28.0
791,Italy,87,20.0
792,US,87,18.0
793,US,87,32.0
794,US,87,28.0
795,France,87,
796,US,87,26.0
797,US,87,32.0
798,US,87,11.0
799,US,87,26.0
800,US,87,19.0
801,US,87,22.0
802,US,87,28.0
803,US,87,28.0
804,US,87,20.0
805,US,87,25.0
806,US,87,16.0
807,US,87,18.0
808,US,87,25.0
809,France,87,10.0
810,Italy,90,22.0
811,Greece,90,20.0
812,US,90,48.0
813,US,90,30.0
814,Italy,90,
815,France,90,59.0
816,France,90,24.0
817,France,90,
818,France,90,20.0
819,France,90,20.0
820,Italy,90,
821,US,90,18.0
822,US,90,70.0
823,US,90,25.0
824,Italy,90,36.0
825,Australia,90,65.0
826,US,90,42.0
827,US,90,50.0
828,US,90,28.0
829,US,90,22.0
830,US,90,26.0
831,US,90,80.0
832,US,90,28.0
833,Chile,90,24.0
834,Spain,90,21.0
835,US,90,50.0
836,US,90,40.0
837,US,90,22.0
838,Germany,90,30.0
839,US,90,50.0
840,US,90,55.0
841,Spain,90,35.0
842,US,90,37.0
843,US,90,42.0
844,Spain,90,25.0
845,US,90,60.0
846,US,90,27.0
847,France,90,45.0
848,France,90,20.0
849,France,90,
850,US,90,48.0
851,Canada,90,38.0
852,Bulgaria,90,28.0
853,France,90,80.0
854,France,90,19.0
855,US,90,45.0
856,Italy,90,56.0
857,France,90,24.0
858,Spain,90,36.0
859,Spain,90,26.0
860,Italy,90,25.0
861,US,90,15.0
862,Italy,90,22.0
863,Italy,90,20.0
864,Spain,90,30.0
865,Italy,90,30.0
866,Italy,90,18.0
867,Italy,90,22.0
868,Italy,90,28.0
869,US,90,40.0
870,US,92,35.0
871,US,92,44.0
872,US,92,32.0
873,Chile,92,30.0
874,Italy,92,113.0
875,France,92,30.0
876,Italy,92,92.0
877,Italy,92,75.0
878,US,92,50.0
879,US,92,27.0
880,Italy,92,49.0
881,Italy,92,19.0
882,Portugal,92,11.0
883,Portugal,92,44.0
884,France,92,24.0
885,US,92,15.0
886,US,92,35.0
887,US,92,33.0
888,US,92,140.0
889,US,92,35.0
890,US,92,75.0
891,US,92,40.0
892,Chile,92,100.0
893,US,92,21.0
894,US,92,80.0
895,US,92,28.0
896,US,92,40.0
897,Italy,92,40.0
898,Italy,92,500.0
899,France,92,55.0
900,Argentina,93,40.0
901,US,93,40.0
902,US,93,65.0
903,France,93,65.0
904,US,93,
905,US,93,28.0
906,US,93,51.0
907,France,93,50.0
908,France,93,34.0
909,France,93,50.0
910,France,93,30.0
911,France,93,40.0
912,US,93,30.0
913,US,93,45.0
914,US,93,32.0
915,US,93,125.0
916,US,93,150.0
917,US,93,60.0
918,US,93,70.0
919,Spain,93,30.0
920,US,93,60.0
921,US,93,80.0
922,France,93,25.0
923,US,93,32.0
924,Spain,93,61.0
925,US,93,60.0
926,US,93,45.0
927,US,93,60.0
928,US,93,80.0
929,US,93,85.0
930,Italy,89,90.0
931,Portugal,89,18.0
932,Portugal,89,7.0
933,Portugal,89,17.0
934,France,89,18.0
935,US,89,39.0
936,Chile,89,17.0
937,France,89,20.0
938,Chile,89,22.0
939,US,89,25.0
940,Spain,89,50.0
941,US,89,31.0
942,Germany,89,25.0
943,Chile,89,26.0
944,Italy,89,27.0
945,US,89,25.0
946,Italy,89,22.0
947,US,89,18.0
948,Chile,89,20.0
949,Italy,89,65.0
950,Portugal,89,60.0
951,Italy,89,52.0
952,US,89,25.0
953,US,89,65.0
954,Italy,89,240.0
955,Italy,89,35.0
956,US,89,40.0
957,Portugal,89,18.0
958,US,89,26.0
959,Greece,89,13.0
960,Italy,90,
961,US,90,28.0
962,Portugal,90,18.0
963,US,90,40.0
964,Spain,90,35.0
965,Italy,90,38.0
966,Israel,90,20.0
967,US,90,72.0
968,Germany,90,60.0
969,US,90,44.0
970,Israel,90,15.0
971,Italy,90,70.0
972,Portugal,90,30.0
973,US,90,36.0
974,Israel,90,40.0
975,US,90,70.0
976,US,90,48.0
977,Israel,90,55.0
978,Italy,90,42.0
979,US,90,125.0
980,Italy,90,110.0
981,Italy,90,103.0
982,Italy,90,100.0
983,Italy,90,40.0
984,Italy,90,68.0
985,Spain,90,24.0
986,Italy,90,52.0
987,Australia,90,65.0
988,US,90,37.0
989,US,90,28.0
990,Italy,85,
991,US,85,13.0
992,Israel,85,30.0
993,Portugal,85,10.0
994,Portugal,85,9.0
995,Portugal,85,7.0
996,Portugal,85,12.0
997,France,85,15.0
998,France,85,9.0
999,Argentina,85,11.0
1000,Portugal,85,28.0
1001,US,85,20.0
1002,US,85,18.0
1003,Portugal,85,11.0
1004,Portugal,85,7.0
1005,Portugal,85,8.0
1006,South Africa,85,22.0
1007,Argentina,85,12.0
1008,South Africa,85,10.0
1009,France,85,16.0
1010,US,85,100.0
1011,South Africa,85,15.0
1012,France,85,16.0
1013,France,85,12.0
1014,France,85,15.0
1015,Portugal,85,10.0
1016,Portugal,85,9.0
1017,France,85,12.0
1018,US,85,30.0
1019,Italy,85,
1020,Germany,91,17.0
1021,US,91,65.0
1022,Italy,91,
1023,US,91,32.0
1024,France,91,24.0
1025,Portugal,91,35.0
1026,Portugal,91,17.0
1027,Portugal,91,22.0
1028,US,91,36.0
1029,US,91,43.0
1030,Portugal,91,28.0
1031,Portugal,91,75.0
1032,Germany,91,20.0
1033,Portugal,91,30.0
1034,France,91,
1035,France,91,
1036,Germany,91,24.0
1037,Chile,91,100.0
1038,Chile,91,30.0
1039,Italy,91,26.0
1040,US,91,65.0
1041,Chile,91,100.0
1042,Italy,91,30.0
1043,Portugal,91,
1044,US,91,48.0
1045,Portugal,91,
1046,Portugal,91,26.0
1047,Portugal,91,
1048,Portugal,91,16.0
1049,US,91,42.0
1050,Italy,88,60.0
1051,Italy,88,56.0
1052,US,88,19.0
1053,US,88,21.0
1054,US,88,20.0
1055,US,88,25.0
1056,US,88,72.0
1057,Argentina,88,18.0
1058,US,88,70.0
1059,Argentina,88,29.0
1060,Portugal,88,35.0
1061,Bulgaria,88,10.0
1062,US,88,26.0
1063,Italy,88,28.0
1064,Argentina,88,12.0
1065,Spain,88,25.0
1066,Australia,88,25.0
1067,US,88,19.0
1068,Croatia,88,27.0
1069,US,88,12.0
1070,France,88,15.0
1071,Romania,88,9.0
1072,US,88,22.0
1073,France,88,37.0
1074,US,88,19.0
1075,France,88,
1076,Italy,88,
1077,US,88,40.0
1078,Italy,88,
1079,US,88,70.0
1080,US,87,34.0
1081,US,87,38.0
1082,US,87,14.0
1083,US,87,20.0
1084,US,87,30.0
1085,US,87,40.0
1086,Spain,87,15.0
1087,France,87,20.0
1088,France,87,
1089,US,87,25.0
1090,France,87,35.0
1091,France,87,
1092,France,87,20.0
1093,US,87,23.0
1094,US,87,24.0
1095,US,87,16.0
1096,Italy,87,24.0
1097,US,87,20.0
1098,US,87,12.0
1099,US,87,20.0
1100,US,87,28.0
1101,France,87,27.0
1102,US,87,22.0
1103,US,87,50.0
1104,US,87,28.0
1105,US,87,25.0
1106,US,87,40.0
1107,US,87,18.0
1108,Italy,87,23.0
1109,US,87,14.0
1110,Spain,90,15.0
1111,US,90,26.0
1112,Spain,90,20.0
1113,US,90,20.0
1114,US,90,50.0
1115,Italy,90,
1116,France,90,
1117,France,90,56.0
1118,France,90,
1119,US,90,42.0
1120,Chile,90,27.0
1121,Germany,90,30.0
1122,US,90,28.0
1123,US,90,32.0
1124,France,90,35.0
1125,Germany,90,19.0
1126,France,90,70.0
1127,US,90,25.0
1128,US,90,40.0
1129,US,90,90.0
1130,US,90,45.0
1131,US,90,19.0
1132,US,90,25.0
1133,,90,17.0
1134,France,90,15.0
1135,France,90,45.0
1136,France,90,21.0
1137,US,90,22.0
1138,US,90,56.0
1139,Slovenia,90,15.0
1140,Italy,90,
1141,Italy,90,70.0
1142,US,90,40.0
1143,US,90,85.0
1144,US,90,24.0
1145,US,90,26.0
1146,US,90,46.0
1147,US,90,24.0
1148,Italy,90,85.0
1149,Moldova,90,32.0
1150,US,90,36.0
1151,US,90,16.0
1152,France,90,35.0
1153,Italy,90,80.0
1154,US,90,20.0
1155,US,90,15.0
1156,India,90,13.0
1157,US,90,20.0
1158,US,90,75.0
1159,US,90,55.0
1160,Italy,90,22.0
1161,Italy,90,20.0
1162,Spain,90,30.0
1163,Italy,90,30.0
1164,Italy,90,18.0
1165,Italy,90,22.0
1166,US,90,35.0
1167,US,90,48.0
1168,France,90,43.0
1169,US,90,18.0
1170,US,93,32.0
1171,New Zealand,93,46.0
1172,France,93,40.0
1173,France,93,20.0
1174,US,93,55.0
1175,US,93,94.0
1176,US,93,40.0
1177,US,93,37.0
1178,US,93,44.0
1179,Austria,93,
1180,US,93,50.0
1181,Austria,93,27.0
1182,US,93,32.0
1183,Argentina,93,38.0
1184,New Zealand,93,33.0
1185,New Zealand,93,40.0
1186,US,93,36.0
1187,US,93,35.0
1188,US,93,60.0
1189,Spain,93,37.0
1190,Spain,93,44.0
1191,Spain,93,136.0
1192,France,93,52.0
1193,US,93,48.0
1194,Italy,93,80.0
1195,US,93,30.0
1196,US,93,32.0
1197,Austria,93,
1198,Austria,93,19.0
1199,US,93,65.0
1200,US,90,50.0
1201,US,90,32.0
1202,Germany,90,23.0
1203,Italy,90,
1204,Italy,90,44.0
1205,Israel,90,40.0
1206,Portugal,90,13.0
1207,US,90,15.0
1208,Italy,90,
1209,US,90,50.0
1210,Germany,90,22.0
1211,France,90,141.0
1212,France,90,74.0
1213,US,90,100.0
1214,Italy,90,102.0
1215,Italy,90,80.0
1216,Italy,90,35.0
1217,Italy,90,55.0
1218,Italy,90,50.0
1219,Israel,90,38.0
1220,US,90,42.0
1221,US,90,26.0
1222,France,90,65.0
1223,Italy,90,70.0
1224,Italy,90,60.0
1225,US,90,50.0
1226,US,90,44.0
1227,US,90,60.0
1228,US,90,20.0
1229,US,90,45.0
1230,France,92,34.0
1231,US,92,55.0
1232,US,92,75.0
1233,US,92,34.0
1234,Portugal,92,17.0
1235,France,92,25.0
1236,France,92,30.0
1237,France,92,47.0
1238,France,92,49.0
1239,France,92,26.0
1240,Portugal,92,53.0
1241,France,92,65.0
1242,France,92,40.0
1243,Italy,92,34.0
1244,Italy,92,55.0
1245,US,92,60.0
1246,US,92,100.0
1247,US,92,39.0
1248,Portugal,92,25.0
1249,US,92,42.0
1250,US,92,65.0
1251,Chile,92,85.0
1252,US,92,43.0
1253,Portugal,92,35.0
1254,US,92,100.0
1255,US,92,70.0
1256,US,92,80.0
1257,Portugal,92,25.0
1258,Italy,92,65.0
1259,France,92,65.0
1260,Portugal,85,15.0
1261,South Africa,85,10.0
1262,South Africa,85,15.0
1263,France,85,63.0
1264,Argentina,85,35.0
1265,South Africa,85,10.0
1266,US,85,32.0
1267,France,85,
1268,US,85,18.0
1269,France,85,11.0
1270,France,85,9.0
1271,France,85,12.0
1272,US,85,18.0
1273,US,85,52.0
1274,Portugal,85,15.0
1275,Portugal,85,15.0
1276,US,85,27.0
