PII,country,designation
105,US,Tudor Hills Vineyard
106,US,
107,US,
108,US,
109,US,Homestead Block
110,Portugal,Companhia das Lezírias Herdade de Catapereiro Single Vineyard
111,Argentina,Terroir Único Pinot Noir
112,US,Limited Release Cold Springs Vineyard
113,US,Castle Hill Vineyard
114,South Africa,Circumstance
115,Argentina,Reserva
116,Spain,Dulce Tinto
117,France,
118,France,Il est des nôôôtres!
119,Portugal,Convento da Vila
120,US,The Flyer
121,US,Charles Vineyard Clone 05
122,US,Solomon Hills Vineyard Rosé
123,US,Paris Tasting Commemorative
124,US,Methode a l'Ancienne
125,US,
126,US,Grand Wren
127,US,Central Park West Vineyard
128,Spain,Arnegui Reserva
129,Italy,Chianta Bianco
130,Italy,
131,US,
132,US,Cooper Ranch
133,US,
134,US,Longwood
135,US,Estate
136,US,Mustang Springs
137,US,SMC
138,Spain,Crianza
139,France,Le
140,France,
141,US,Rte Blanc
142,US,Hook Vineyard
143,US,
144,US,Jespersen Ranch
145,US,
146,US,Estate Grown
147,Spain,
148,US,
149,US,
150,US,
151,Greece,Kapnias
152,Spain,Brut Reserva
153,Greece,
154,Greece,Axia Malagouzia
155,Chile,Ecos de Rulo Single Vineyard El Chequén Estate
156,France,
157,US,
158,Spain,Viña Real Gran Reserva
159,Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah
160,US,Range 30 West
161,US,
162,Spain,Gaudium
163,US,
164,US,Mill Road Vineyard
165,US,Freedom Hill Vineyard
166,Italy,Le Redini
167,Italy,Il Guardiano
168,Portugal,
169,US,Del Arroyo Vineyard
170,US,
171,Chile,Family Collection
172,Greece,
173,US,Charles Vineyard Clone O5
174,France,Héritages Elevé en Foudres de Chêne
175,Spain,Gran Bajoz
176,Italy,Palazzo Altesi
177,Italy,Il Borgo
178,US,Lot 525
179,Chile,Perla Negra
180,US,
181,US,Estate Reserve
182,US,Sonatera Vineyard
183,US,Boushey Vineyard
184,Argentina,Trinità Grand Reserve
185,US,Entwined
186,US,French Camp Vineyard
187,US,French Camp Vineyard
188,Spain,Sobre Lías
189,Spain,Negre
190,Argentina,Reserve
191,France,
192,France,
193,France,
194,France,
195,France,
196,US,
197,US,Rosé of
198,US,Ingle Vineyard Unoaked
199,US,Semi-Dry
200,US,Semi-Dry
201,US,Ice Wine
202,France,
203,France,
204,US,
205,US,
206,US,
207,US,
208,US,Weinbau
209,Spain,Yá Cuvée 23 Brut Rosé
210,Portugal,Reserva
211,Italy,Nervo
212,US,Rocky Ridge Vineyard
213,Italy,Fausoni
214,France,Rosacker Grand Cru
215,France,Clos Häuserer Wintzenheim
216,Morocco,Domaine Excelcio
217,Italy,
218,France,Pfingstberg Paradis Grand Cru
219,France,Altenberg de Bergheim Grand Cru Vieilles Vignes
220,US,Collaboration Series VI Ciel du Cheval Vineyard
221,US,Hastings Ranch Vineyard
222,France,Heissenberg
223,US,Stagecoach Vineyards The Biale Block
224,Italy,Pajorè
225,France,
226,US,Estate
227,US,Collaboration Series V Ciel du Cheval Vineyard
228,US,White Hawk Vineyard
229,Portugal,Quinta dos Quatro Ventos Reserva
230,US,Double Canyon Vineyard
231,US,Red Rock Terrace
232,US,Ciel du Cheval Vineyard
233,US,Kingpin
234,Italy,
235,France,Domaine Saint-Rémy Schlosberg Grand Cru
236,France,Pfersigberg Grand Cru
237,France,Calcaire
238,Portugal,Dona Maria Reserva
239,Italy,Coste Rubin
240,France,
241,France,
242,France,
243,France,
244,France,
245,US,
246,US,Estate
247,Romania,La Umbra
248,US,Limited Selection
249,US,Cuvée Luke Saralee's Vineyard
250,US,
251,Italy,
252,US,Wits' End
253,US,Toyon Farm
254,US,Early
255,Italy,Bussia
256,US,Estate
257,US,Guidotti Vineyard
258,Italy,
259,Spain,Prestigio
260,Spain,Crianza
261,France,Noctambule
262,US,Querida
263,US,Primoroso
264,Italy,del Comune di Serralunga d'Alba
265,France,Domaine de Saint-Pierre
266,US,
267,US,Anna's Estate Vineyard
268,US,
269,Argentina,Single Vineyard Reserva
270,France,Pertuisots Premier Cru
271,France,Clos du Cailleret Premier Cru
272,US,Haynes Vineyard
273,US,Suzuri Series Shake Ridge Ranch
274,US,Vintage Brut
275,US,
276,Italy,Sirmian
277,Portugal,Portal do Fidalgo
278,Portugal,Mirabilis Grande Reserva
279,US,Solomon Hills Vineyard
280,Italy,Monte Carbonare
281,Italy,Quarz
282,France,
283,France,Réserve
284,US,Lampyridae Vineyards
285,US,Le Mistral Vineyard
286,France,Les Charmes Dessus
287,France,Cuvée Germain
288,France,Quintessence
289,US,Clay Court
290,France,
291,Portugal,
292,US,
293,US,Kruse Vineyards
294,France,Cami Salié
295,US,Rosé of
296,Italy,Prail
297,Italy,Puiten
298,US,Estate Grown
299,US,Nova Vineyard
300,US,The Funk Estate
301,US,Estate Bottled
302,Italy,Vigneto Monte Sant'Urbano
303,US,White
304,US,Sierra Madre Vineyard
305,New Zealand,Maté's Vineyard
306,US,Bergström Vineyard
307,US,Angel Hawk
308,US,King Ridge Vineyard Hirsch Selection
309,US,Evenstad Reserve
310,US,Bacigalupi Vineyard
311,Italy,Contrada Salvarenza Vecchie Vigne
312,Italy,La Froscà
313,US,Outer Limits
314,US,Durant Vineyard Bishop Block
315,US,Godspeed
316,US,Tognetti Vineyard Brut
317,US,Ribbon Ridge Estate
318,France,Château Montus
319,US,Old Stones
320,France,La Bégude
321,Spain,QP
322,France,
323,Spain,Prestigio Pago de las Solanas
324,US,Pellet Vineyard
325,France,La Bégude
326,Argentina,Alta Barrancas Vineyards
327,France,Garrus
328,France,Cuvée Marguerite Massaut
329,US,Aurora Vineyard
330,Italy,Monvigliero
331,Germany,Graacher Himmelreich Kabinett
332,US,Latro
333,Spain,Etiqueta Ambar
334,US,Grieve Family Vineyard
335,Portugal,Grande Rocim Reserva
336,US,XCV
337,US,
338,US,Rosé of
339,Italy,Bergera Pezzole
340,Italy,Coste di Rose
341,US,Emblem Oso Vineyard
342,Italy,Brunate
343,US,Estate Cuvée
344,Portugal,Telhas
345,Portugal,Terra d'Alter
346,US,Lone Oak Vineyard
347,US,Starr Ridge Vineyard Estate
348,Germany,Saulheimer Probstey Trocken
349,Italy,Paesi Tuoi
350,US,Sierra Madre Vineyard
351,US,Juliard Vineyard
352,France,Grand Cru Blanc de Blancs Chouilly Brut
353,Portugal,Garrafeira
354,US,Brut Rosé
355,Israel,
356,US,Rosella's Vineyard
357,US,
358,Italy,Parej
359,Spain,Crianza
360,US,Cuore della Vigne
361,US,Kiler Grove Vineyard
362,US,Winemaker's Reserve
363,France,Galets Oligocène
364,France,
365,US,
366,Italy,
367,Germany,Dry
368,France,Vieilles Vignes
369,France,Vieilles Vignes
370,France,Zind
371,US,
372,US,Sisters Estate
373,France,Domaine du Pavillon Clos des Ursulines
374,Italy,Adenzia
375,Italy,SP68 Bianco
376,US,
377,Italy,
378,Germany,Bernkasteler Badstube Kabinett
379,US,
380,US,
381,US,Classic Collection
382,US,Rector Creek Vineyard
383,Spain,Reserva
384,Germany,Trocken
385,Spain,Orquestal
386,US,
387,US,Olson Vineyard
388,US,The Truant
389,US,
390,US,Proprietor's Reserve
391,US,Cabovation Destiny Vineyards Mt. Christo Block Reserve
392,Italy,
393,US,Seven Hills Vineyard
394,Canada,Compendium
395,Spain,Albariño de Fefiñanes
396,France,Terre de Maimbray
397,Italy,Villa al Cortile Riserva
398,Italy,Riserva
399,Moldova,Alb de Purcari
400,Italy,Riserva
401,Italy,
402,Italy,
403,US,Trois Fleurs
404,France,Cuvée Setier
405,France,Cuvée de Nalys
406,US,Kate's + B's
407,US,New Generation
408,US,
409,US,Signpost
410,Spain,Mirlo Blanco
411,Hungary,Steiner
412,Italy,
413,US,
414,US,
415,US,Elevation Annadel Gap Vineyard Estate
416,US,
417,Italy,Berardo Riserva
418,Italy,
419,Italy,Riserva
420,US,
421,US,Rapscallion
422,US,
423,US,Weinbau
424,Spain,Yá Cuvée 23 Brut Rosé
425,Spain,Crianza
426,US,
427,France,Cuvée Lucie
428,US,Chandler Vineyard
429,US,Freakshow
430,US,Reserve
431,US,Southern
432,Italy,Vigna Poggio Ronconi
433,Italy,Filo di Seta
434,France,
435,US,
436,US,Unoaked
437,US,Chicken Dinner
438,Italy,Pagliatura
439,Spain,Buleria Fino
440,Italy,Scirè
441,US,Dry
442,Spain,Crianza
443,Spain,Premium
444,Spain,Roble 4 Meses en Barrica
445,US,U50
446,Spain,Brunus
447,Italy,Riserva
448,Italy,Vigna Manapetra Riserva
449,Italy,
450,Portugal,Superior
451,Italy,Senza Solfiti Aggiunti
452,US,Cannon Block
453,US,
454,Portugal,Conde Vimioso Colheita Seleccionada
455,Argentina,Alma Mora
456,US,
457,Portugal,Duas Quintas Branco
458,US,Estate Grown Cabernet
459,US,
460,Argentina,
461,South Africa,
462,US,Porter and Plot
463,US,
464,US,
465,US,Reserve
466,France,
467,Argentina,
468,US,Estate Vineyard
469,Argentina,
470,US,
471,Portugal,Portal da Vinha
472,US,Osborn Ranch
473,Portugal,Cabriz
474,US,
475,US,The Deep Six
476,France,
477,US,
478,Portugal,Oculto
479,Portugal,
480,US,Charles Vineyard Clone O5
481,Greece,
482,France,Bastide de Beauvert
483,Italy,Montesodi
484,France,Les Gravels
485,France,Les Gravels
486,Germany,Wehlener Sonnenuhr Kabinett
487,Italy,Cuvée du Prince Metodo Classico
488,US,
489,US,Cheval Rouge Reserve
490,Italy,Coniale
491,France,La Guillotte
492,US,Nicholas Estate Reserve
493,US,
494,US,Fourplay
495,Portugal,
496,US,Thompson Vineyard
497,Italy,Daniello
498,Italy,Il Tarabuso
499,Spain,
500,France,Belleruche
501,US,Paderewski Vineyard
502,Chile,Fina Reserva Ensamblaje Cabernet Sauvignon-Malbec-Syrah
503,US,
504,US,Martinelli
505,US,Momtazi Vineyard
506,Spain,Val do Salnés
507,Italy,Carmione
508,Spain,
509,Spain,Brut
510,US,Dutton Ranch Mill Station Vineyard
511,France,Brandluft Vieilles Vignes
512,Portugal,Vinhas Velhas Grande Reserva
513,US,Black Chicken
514,US,Cambium
515,US,
516,US,Fergalicious
517,Canada,Cave Spring Vineyard Estate Bottled VQA
518,US,Loner W11-B
519,Portugal,
520,US,Hyde Vineyard
521,Portugal,Vinha Pan
522,US,Conner Lee
523,US,White Hawk Vineyard
524,US,Celilo Vineyard
525,France,Bruderbach Clos des Frères
526,France,Jubiléé
527,US,Melville Vineyard
528,US,Quail Hill Vineyard
529,Hungary,
530,Italy,Canova
531,US,Kristen's Cuvee
532,Italy,Sottocastello di Novello Riserva
533,France,
534,Portugal,Vale de Mata
535,France,Mandelberg Grand Cru
536,US,Nielson Vineyard
537,Chile,Edición Limitada B
538,US,Collaboration Series
539,US,Fort Ross Vineyard
540,US,Monarch Mine Vineyards
541,US,
542,Germany,Feinherb
543,France,Les Marconnets Premier Cru
544,France,
545,US,Estate Vineyards
546,US,Sundawg Ridge Vineyard
547,Germany,Richter Estate
548,US,
549,Italy,Laluci
550,France,Bastion Premier Cru
551,France,Rosenberg
552,France,Clos de Jeu
553,France,L'Aplomb
554,France,Réserve
555,US,
556,Italy,Siccagno
557,US,Montecillo Vineyard
558,Italy,Bianco Dry
559,Greece,
560,US,Guadalupe Vineyard
561,US,
562,Italy,Belsito
563,US,
564,Spain,Fincas de la Villa Reserva
565,Spain,Crianza
566,US,Made with Organically Grown Grapes
567,Germany,Bernkasteler Badstube Kabinett
568,US,
569,US,
570,US,Sunny View
571,US,Wichmann Dundee Estate
572,France,Château Bouscassé
573,US,Reserve
574,US,Haynes Old Block
575,US,
576,Italy,
577,France,Dou Barringuet
578,US,Cuvée Sandre
579,US,Two Barns Vineyard
580,France,Seigneur de Grézette
581,US,Rogers Creek
582,Austria,
583,US,
584,US,Oliver's Vineyard
585,US,Ocean's Ghost Babcock Vineyard
586,Spain,Reserva Edición Especial Sergio Hernández
587,Austria,
588,Austria,
589,US,Bien Nacido Vineyard
590,US,
591,US,Medici Vineyard
592,US,Story Vineyard
593,US,Santa Catalina Island Vineyards
594,US,Hughes
595,Austria,The Butcher
596,US,A Ken Forrester Wine Farrow Ranch
597,US,Scottsdale Vineyard
598,Spain,Reserva
599,France,
600,US,Hendry Vineyard
601,US,
602,US,
603,Portugal,Lua Cheia em Vinhas Velhas Reserva
604,Italy,Punggl
605,US,Bald Mountain Vineyard
606,Germany,Hochheimer Domdechaney Trocken
607,Germany,Ayler Kupp Kabinett
608,Germany,Medium Dry Kabinett
609,Germany,Löhrer Berg Spätlese
610,Germany,Ürziger Würzgarten Spätlese
611,Italy,Manna
612,US,Oregon Hawks View Vineyard
613,Portugal,Olho de Mocho Reserva
614,US,Estate Grown
615,France,
616,US,Lorenzo Vineyard
617,US,Jillian's Blend
618,US,Rodgers Creek Vineyard
619,Germany,Bernkasteler Badstube Spätlese
620,Germany,Graacher Himmelreich Auslese
621,Germany,Bernkasteler Lay Kabinett
622,Germany,Bernkasteler alte Badstube am Doctorberg Kabinett
623,Germany,Scharzhofberger Kabinett
624,Germany,Trittenheimer Apotheke Auslese
625,US,Griva Vineyard Late Harvest
626,Italy,Lahn
627,France,
628,Portugal,Cabriz Reserva
629,France,Les Monts de Boncourt
630,US,
631,Australia,The Dagger
632,Italy,Cannubi Boschis
633,Portugal,Casa Velha Colheita Seleccionada
634,Italy,del Comune di Serralunga d'Alba
635,US,Soul Shaker Cass Vineyard
636,US,Estate Grown
637,Italy,Sottocastello di Novello
638,Italy,
639,Italy,Bricco Rocca
640,Italy,Sil Nizza
641,Spain,Sin Palabras Castrovaldés
642,US,Estate Grown
643,France,Prieuré de Cénac
644,Portugal,Contraste Branco
645,US,Estate
646,US,Cuvée Luke Saralee's Vineyard
647,France,La Croix d'Argon
648,France,Vaillons Premier Cru
649,Germany,Graacher Himmelreich Spätlese
650,US,Laki's Vineyard Estate
651,Italy,Bricco dei Merli
652,US,Estate
653,Italy,Marasco
654,US,Backbone
655,US,Campbell McKinney Vineyard
656,US,Truffle Hill
657,Italy,Fraschin
658,Italy,Pressenda
659,Italy,Roche d'Ampsej
660,Australia,Applejack Vineyard
661,France,
662,Argentina,Grande Reserve
663,France,Le Pierrier
664,US,The Mariner
665,US,
666,France,
667,US,
668,France,Cuvée Silice
669,Italy,Mondoca di Bussia
670,US,
671,US,Estate Vineyard
672,France,Cuvée C.M.
673,US,Estate
674,US,Diversité
675,US,Estate
676,Croatia,Riserva R5
677,Italy,Villero
678,US,Stainless
679,France,
680,France,
681,France,
682,France,
683,US,
684,France,
685,US,Sarah Jane's Block Reserve
686,US,Estate Grown
687,US,Spire
688,France,
689,Spain,Made With Organic Grapes
690,US,Estate Grown
691,Spain,Leopardi Brut Nature Gran Reserva
692,Bulgaria,Elenovo Nova Zagora
693,US,Sangiacomo Green Acres Hill
694,US,Bien Nacido Vineyard
695,US,
696,US,
697,US,Lust
698,US,En Hommage
699,Italy,
700,US,
701,Italy,
702,US,D
703,US,1105
704,US,Olivet Lane
705,Canada,Reserve
706,US,Estate Grown
707,US,
708,US,Nance's Vineyard
709,US,Redwood Ranch
710,US,Damn Straight
711,Slovenia,Brutus
712,US,
713,Italy,
714,Canada,
715,US,
716,Spain,Viña AB Amontillado Seco
717,Italy,Riserva
718,US,
719,France,
720,US,Harvest
721,South Africa,Schaapenberg Vineyard Reserve
722,Argentina,Brutal
723,Argentina,Familia Navarro Torrre Grand Gold Medal
724,South Africa,Barrelman's Select
725,US,Saluté
726,France,Bélingard
727,France,Les Petits Clément Merlot Duras
728,US,
729,France,
730,Italy,
731,Portugal,Oceanus Touriga Nacional-Cabernet Sauvignon
732,France,Pigmentum Malbec
733,France,Les Terrasses
734,South Africa,
735,US,
736,US,
737,Argentina,
738,Italy,Monopolio
739,Argentina,Nuna Estate
740,Portugal,Encosta da Vinha
741,South Africa,Crocodile's Lair Kaaimansgat
742,Argentina,Eggo Tinta de Tiza
743,Spain,Colección Vivanco Dulce de Invierno Late Harvest
744,South Africa,The Game Reserve
745,France,Bastide de Beauvert
746,Argentina,Cruzat Brut Rosé Méthodo Tradicional
747,US,Cross Creek Vineyard
748,Bulgaria,Veni Vidi Vici
749,Israel,Admon Vineyard
750,France,Château de Rouffiac Séduction
751,Spain,Herència del Padrí
752,US,
753,US,La Presa Vineyard
754,US,Bien Nacido
755,France,La Demoiselle de Laballe
756,US,
757,Italy,Ad Astra
758,US,
759,Italy,Oliviero Toscani
760,Chile,
761,US,The Truant
762,US,Reserve Rêve Estate
763,US,
764,Chile,
765,Italy,Cerviolo
766,Chile,1865 Single Vineyard
767,US,Grande Cuvée
768,US,
769,Italy,Scipio
770,Chile,La Capilla Single Vineyard
771,US,
772,US,Grenache
773,US,Faith
774,Italy,I Sodi di San Niccolò
775,Portugal,Alma Grande Reserva
776,Portugal,D. Fuas Reserva
777,Portugal,Magna Carta Reserva
778,Chile,Justo
779,France,CSV
780,Italy,
781,Italy,Tradizione
782,US,Copeland Vineayard
783,Italy,Firma Riserva
784,US,Intrepide
785,France,
786,France,
787,France,Les Hauts de Larrivet Haut-Brion
788,France,
789,France,Dame de Coeur
790,US,Serres Ranch
791,Italy,Greppicante
792,US,
793,US,Syzygy
794,US,Canoe Ridge Vineyard
795,France,
796,US,Cockburn Ranch Vineyard
797,US,Estate
798,US,Bogle Vineyards
799,US,Reserve Nellie Mae
800,US,Lot 423
801,US,Amatino
802,US,Bona Vita
803,US,Buttner Vineyard
804,US,
805,US,Cellar 1879 Blend
806,US,
807,US,Estate
808,US,Block 007 Estate Vineyard
809,France,Mission St Vincent Réserve
810,Italy,Bianco Dry
811,Greece,
812,US,Guadalupe Vineyard
813,US,
814,Italy,Belsito
815,France,Bastion Premier Cru
816,France,Rosenberg
817,France,Clos de Jeu
818,France,L'Aplomb
819,France,Réserve
820,Italy,Laluci
821,US,
822,US,Circle S Vineyard
823,US,Dry
824,Italy,Rosato
825,Australia,The Dead Arm
826,US,
827,US,Symphonia
828,US,
829,US,Estate
830,US,"Estate Grown, Produced and Bottled"
831,US,Howell Mountain
832,US,
833,Chile,Amplus One
834,Spain,Reserva
835,US,Version Red Anna's Vineyard Reserve
836,US,Bailey Ranch Riserva
837,US,Made with Organically Grown Grapes
838,Germany,Thanisch Kabinett
839,US,Del Arroyo Vineyard
840,US,Estate Grown
841,Spain,Leopardi Brut Nature Gran Reserva
842,US,Topaz Impérial Rosé
843,US,Stymie Founder's Reserve
844,Spain,Brut Reserva Special Edition
845,US,
846,US,
847,France,En Pimont
848,France,Vieilles Vignes
849,France,
850,US,Geza's Selection
851,Canada,
852,Bulgaria,Nimbus Premium
853,France,Les Brunettes et Planchots
854,France,
855,US,The Diva
856,Italy,
857,France,
858,Spain,Lapola
859,Spain,Viña AB Amontillado Seco
860,Italy,Riserva
861,US,
862,Italy,Riserva
863,Italy,
864,Spain,Valcortes Crianza
865,Italy,Riserva
866,Italy,
867,Italy,Il Palei
868,Italy,Riserva
869,US,Reserve
870,US,Collaboration Series
871,US,Fort Ross Vineyard
872,US,Nielson Vineyard
873,Chile,Edición Limitada B
874,Italy,Maria di Brun
875,France,Vignoble d'E
876,Italy,Vigna del Gris
877,Italy,Leon Riserva
878,US,Bedrock Vineyard
879,US,Estate Bottled
880,Italy,Cuvée Giulio I
881,Italy,
882,Portugal,Seleção do Enólogo
883,Portugal,Vale de Cavalos
884,France,Schlossberg Grand Cru
885,US,Late Harvest
886,US,Tierra Alta Vineyard
887,US,Lone Oak Vineyard Estate
888,US,
889,US,
890,US,Collaboration Series Force Majeure Vineyard
891,US,Cuvée Jeanne Marie Williamson-Dore Vineyard
892,Chile,Tralca
893,US,Underwood Mountain
894,US,Portolan
895,US,Avansino Grand Reserve
896,US,Sun Chase Vineyard
897,Italy,Munjebel Bianco 9
898,Italy,Sorì Tildin
899,France,Jubiléé
900,Argentina,Bramare
901,US,
902,US,Silhouette
903,France,Crouzeilles-Côte Abeilles
904,US,Sonnie's Sawyer Lindquist Vineyard
905,US,
906,US,Sullivan Vineyard Dutton Ranch
907,France,Cuvée 946
908,France,Jadis
909,France,
910,France,Grande Cuvée No. 8
911,France,Inspire
912,US,
913,US,Sage Vineyard
914,US,The Maneater Derby Vineyard
915,US,Récolte Grand Cru
916,US,Sycamore Vineyard
917,US,Seven Pillars Jess' Block
918,US,Domaine
919,Spain,Almancenista José Luis González Obregón Amontillado del Puerto
920,US,Balcombe Vineyard Block 1B
921,US,Schwarze Vineyard Brut
922,France,Château Bouscassé Menhir
923,US,Flocchini Vineyard Petaluma Gap
924,Spain,
925,US,Deja Vu
926,US,Top Cream Babcock Vineyard
927,US,Temperance Hill Vineyard
928,US,King Ridge Vineyard
929,US,Jasper
930,Italy,I Sodi di San Niccolò
931,Portugal,Alma Grande Reserva
932,Portugal,D. Fuas Reserva
933,Portugal,Magna Carta Reserva
934,France,Le Monde on Parle
935,US,Faith
936,Chile,Justo
937,France,CSV
938,Chile,Marques de Casa Concha
939,US,
940,Spain,Hisenda Miret Microcuvée Garnatxa
941,US,Estate Infrared
942,Germany,Schwarzer Adler
943,Chile,
944,Italy,Inferno
945,US,Brut Cuvée
946,Italy,D'Aria
947,US,Logsdon Ridge Vineyard Rudolfo
948,Chile,
949,Italy,Potenti
950,Portugal,Carvalhas
951,Italy,Ser Gioveto
952,US,Pinot Noir
953,US,Oakville Estate
954,Italy,
955,Italy,Crognolo
956,US,Z'ivo Vineyard Reserve
957,Portugal,Andreza
958,US,
959,Greece,Ambelos Phos Roditis-Moschofilero
960,Italy,San Bernardo Riserva
961,US,
962,Portugal,Vale de Cavalos
963,US,Coro Mendocino
964,Spain,Reserva
965,Italy,Zio Nando
966,Israel,Special Reserve
967,US,MK Vineyard
968,Germany,Bockstein Ockfen Auslese Erste Lage
969,US,Whole Cluster
970,Israel,Mt. Tabor
971,Italy,Castelletto
972,Portugal,Terra d'Alter Reserva Branco
973,US,Estate
974,Israel,Espero
975,US,
976,US,Meredith Mitchell Vineyard
977,Israel,
978,Italy,Leon
979,US,
980,Italy,Cannubi
981,Italy,Rapet
982,Italy,Bernardot
983,Italy,Margheria
984,Italy,Ascheri
985,Spain,Reserva
986,Italy,Castiglione
987,Australia,Coal River Valley Single Site
988,US,Juel
989,US,Vintage Brut
990,Italy,
991,US,
992,Israel,Admon Vineyard
993,Portugal,Campelo
994,Portugal,Miranda
995,Portugal,Plexus Tinto
996,Portugal,Blanc de Blancs Bruto
997,France,La Galope
998,France,
999,Argentina,
1000,Portugal,Brut Nature Reserva Arinto
1001,US,
1002,US,
1003,Portugal,Cabriz Bruto
1004,Portugal,Cal Monte da Cal
1005,Portugal,Encontro Q do E Blanco Bruto Classico
1006,South Africa,
1007,Argentina,Punto Final MLB
1008,South Africa,
1009,France,Héritages
1010,US,Limited Release X Clones
1011,South Africa,
1012,France,Les Petits Clément Syrah Braucol
1013,France,La Fleur Lily Semi-Dry
1014,France,La Galope
1015,Portugal,Pé Tinto
1016,Portugal,Monte da Cal Colheita Seleccionada
1017,France,
1018,US,
1019,Italy,Cà de' Rocchi
1020,Germany,Niersteiner Hipping vom Rottligenden  Spätlese Trocken
1021,US,Mark VI
1022,Italy,Dut'Un
1023,US,
1024,France,Côte du Py
1025,Portugal,Companhia daz Lezirias Reserva Tinto
1026,Portugal,Monte da Baía Reserva
1027,Portugal,Abreu Callado Reserva
1028,US,Estate 25th Anniversary
1029,US,Van Ness Vineyard
1030,Portugal,Reserva
1031,Portugal,Reserva
1032,Germany,Single Vineyard Series Spätlese
1033,Portugal,Mythos
1034,France,
1035,France,Réserve Louis Leyre-Loup
1036,Germany,Trocken
1037,Chile,Auma Los Lingues
1038,Chile,Lien
1039,Italy,Demesse Vecchie
1040,US,Heather's Vineyard
1041,Chile,Toknar
1042,Italy,Insoglio del Cinghiale
1043,Portugal,Drink & Dream D+D
1044,US,Keefer Ranch
1045,Portugal,Ikon
1046,Portugal,Reserva
1047,Portugal,Ciconia
1048,Portugal,Domini
1049,US,Van Der Kamp Vineyard
1050,Italy,Bricco delle Viole
1051,Italy,
1052,US,
1053,US,
1054,US,Rosé
1055,US,
1056,US,Adagio
1057,Argentina,Broquel
1058,US,Paradiso
1059,Argentina,Reserva
1060,Portugal,Colheita
1061,Bulgaria,Veni Vidi Vici
1062,US,
1063,Italy,
1064,Argentina,Estate Bottled
1065,Spain,
1066,Australia,
1067,US,
1068,Croatia,P9
1069,US,
1070,France,
1071,Romania,La Umbra
1072,US,
1073,France,
1074,US,
1075,France,Eclat de Fraîcheur
1076,Italy,Audace Riserva
1077,US,Heritage Reserve
1078,Italy,Chirlet
1079,US,Pommard Clone Dierberg Vineyard
1080,US,Nola
1081,US,Zig-A-Zig-Ahh
1082,US,
1083,US,Howling Wolfe
1084,US,Estate
1085,US,Cassango
1086,Spain,Cuvée
1087,France,
1088,France,
1089,US,
1090,France,
1091,France,
1092,France,
1093,US,Single Vineyard
1094,US,
1095,US,
1096,Italy,Borgeri
1097,US,Mountain Cuvée
1098,US,
1099,US,Hobbit Hollow Farm Dry
1100,US,Cold Creek Vineyard
1101,France,
1102,US,The Whip
1103,US,
1104,US,Estate
1105,US,
1106,US,Port
